Which is your favourite K-Pop group?;Which is your favourite K-Pop group? 2;Is K-Pop popular in your country? ;When did you start listening to K-Pop?;Do you listen to K-Pop male groups more than girl group songs?;How many hours do you spend listening to K-Pop?;Do you watch K-Pop Youtube videos?;If you do watch K-Pop music videos, how long do you spend watching them?;Would you say that you are obsessed with K-Pop?;Has consuming K-Pop affected your personal life in the following ways?;Have you experienced any positive effects after consuming K-Pop? ;How old are you?;Edad;Which country are you from?;What is your gender?
BTS;;Its gaining popularity;3-4 years ago;Yes;4;Yes;1;Yes;Reduced your time to socialise with your friends/partners/family;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
BLACKPINK;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;1;Yes;1;No;Reduced your time to socialise with your friends/partners/family;No;21 - 26 years;C;USA;Transgender
BTS;NCT;Yes;3-4 years ago;Yes;4;Yes;2;No;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
MONSTA X;;Its gaining popularity;More than 4 years ago;Yes;24;Yes;2;Notsure; reduced amount of sleep, as well, got made fun of ; I don't know ;15 - 20 years;B; Canada ;Female
Twice;;Yes;More than 4 years ago;I listen to both;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;3-4 years ago;Yes;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Both ;21 - 26 years;C;USA;Female
Seventeen;;Its gaining popularity;1 -2 years ago;Its about the music- not the gender;4;Yes;1;Notsure;Reduced the amount of sleep you get;Made friends who are like-minded;10 - 14 years;A;USA;Female
Ikon;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;1;Yes;Reduced the number of friends you have;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;EXO;Its gaining popularity;3-4 years ago;Yes;5;Yes;4;Notsure;Helped me to makw new friends and try new things;Made friends who are like-minded;21 - 26 years;C;USA;Female
BTS;;Its gaining popularity;3-4 years ago;Yes;5;Yes;2;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;4;Yes;2;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;10 - 14 years;A;USA;Female
BTS;EXO;I'm not sure;1 -2 years ago;I listen to both;4;Yes;1;Notsure;Not really;Reduced stress/anxiety/depression;15 - 20 years;B;A country from the Caribbean ;Female
BTS;;I'm not sure;1 -2 years ago;Yes;4;Yes;2;Yes;Reduced your time to socialise with your friends/partners/family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
Brown Eyed Girls;;Its gaining popularity;9 years, since 2010;No;4;Yes;1;No;Not consumed, some people dont have lives out kpop and it shows, i treat this genre of music like most do with entertainment and just absorb it in my free time here and there;Not really, i mean i made a friend that likes the same group as me so thats nice;21 - 26 years;C;USA;Male
BTS;EXO;Its gaining popularity;1 -2 years ago;Yes;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
EXO;;I'm not sure;3-4 years ago;I listen to both;4;Yes;3;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;New Zealand;Female
GOT7;;Its gaining popularity;1 -2 years ago;Its about the music- not the gender;1;Yes;1;Notsure;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;Its about the music- not the gender;4;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;Yes;More than 4 years ago;Its about the music- not the gender;4;Yes;4;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;I listen to both;24;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;Canada;Female
BLACKPINK;;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;1;No;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Canada;Female
BTS;EXO;Yes;1 -2 years ago;Yes;4;Yes;1;Yes;No;Made friends who are like-minded;15 - 20 years;B;USA;Female
Seventeen;Stray Kids;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;1;Yes;I really dont see kpop affecting me, if anything, i got happier with the friends i met through it;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;Yes;1 -2 years ago;I listen to both;4;Yes;1;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;Yes;12;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Transgender
BTS;EXO;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;1;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;I listen to both;5;Yes;2;Yes;Reduced the amount of sleep you get;Both;15 - 20 years;B;USA;Male
Seventeen;;Its gaining popularity;1 -2 years ago;Yes;5;Yes;1;Notsure;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;Latin America;Female
BTS;EXO;Yes;3-4 years ago;Yes;4;Yes;1;No;None;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;I listen to both;4;Yes;1;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Canada ;Female
BTS;;Its gaining popularity;Less than a year ago;Yes;24;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;10 - 14 years;A;New Zealand;Female
BTS;;Yes;1 -2 years ago;I listen to both;5;Yes;2;Notsure;None;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
MONSTA X;NCT;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;1;Yes;None of the above ;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
Got7;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;3;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
NCT;;Its gaining popularity;3-4 years ago;Yes;4;Yes;1;Yes;Increased number of friends ;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;About 6 years ago, I got introduced to 2ne1 which was their song called “I am the best”. So sad they disbanded;I listen to both;12;Yes;3;Yes;No, because it hasn’t affected my life.Cause I still do thing that I love even if I wasn’t into Kpop.;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
ASTRO;;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;4;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;3;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;canada;Female
NCT;;No;More than 4 years ago;Its about the music- not the gender;5;Yes;3;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;South Africa ;Female
ASTRO;;I'm not sure;1 -2 years ago;Its about the music- not the gender;5;Yes;2;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;21 - 26 years;C;Latin America;Female
Seventeen; Twice;Its gaining popularity;3-4 years ago;I listen to both;1;Yes;2;Notsure;Reduced the amount of sleep you get;Both;21 - 26 years;C;USA;Female
BTS;;Its gaining popularity;More than 4 years ago;I listen to both;4;Yes;1;No;No? It’s just music;Being exposed to different styles of music;15 - 20 years;B;Canada;Female
EXO;;Its gaining popularity;More than 4 years ago;I listen to both;5;Yes;2;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;No;1 -2 years ago;Yes;4;Yes;2;No;Reduced the time spend to watch other tvshows ,movies ...;Reduced stress/anxiety/depression;21 - 26 years;C;France;Female
BTS;EXO;Yes;3-4 years ago;I listen to both;24;Yes;1;Yes;It’s the only music of genre I listen to and I Stan lots of group I have to on top on what the lastest thing is but I still continue with my life ;Kpop made me and overall better person to love myself and don’t give a crap about haters (sorry about my French);10 - 14 years;A;USA;Female
BTS;EXO;Yes;More than 4 years ago;I listen to both;5;Yes;1;Yes;K-pop has not affected my personal life.;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;KPop groups have helped me overcome some of the hardest times of my life. It is my strength when I am weak. I feel it is there to comfort me when I feel sad.;15 - 20 years;B;USA;Female
ATEEZ;;Yes;More than 4 years ago;Its about the music- not the gender;5;Yes;2;No;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;Yes;3-4 years ago;I listen to both;4;Yes;2;Yes;Reduced the number of friends you have;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;More than 4 years ago;I listen to both;4;Yes;1;Notsure;Reduced your time to socialise with your friends/partners/family;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
Stray kids;;I'm not sure;1 -2 years ago;I listen to both;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;Germany;Female
MONSTA X;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;21 - 26 years;C;Other European countries;Female
BLACKPINK;MONSTA X;Yes;More than 4 years ago;I listen to both;4;Yes;2;No;none of the above;Made friends who are like-minded;15 - 20 years;B;Other Asian country;Female
EXO;;Yes;3-4 years ago;Its about the music- not the gender;5;Yes;2;Yes;no it doesn't;Reduced stress/anxiety/depression;15 - 20 years;B;Germany;Female
BTS;;Its gaining popularity;1 -2 years ago;Its about the music- not the gender;5;Yes;3;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
Multiple ;;Its gaining popularity;More than 4 years ago;I listen to both;5;Yes;4;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;10 - 14 years;A;A country in the UK;Female
BTS;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;2;Notsure;No;Made friends who are like-minded;15 - 20 years;B;Other European countries;Female
BTS;EXO;Its gaining popularity;1 -2 years ago;Yes;5;Yes;4;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;Yes;3-4 years ago;No;1;Yes;1;No;No;Being inspired by the lyrics/ messages ;15 - 20 years;B;Other Asian country;Female
BTS;BLACKPINK;No;More than 4 years ago;I listen to both;4;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;Australia ;Female
BTS;;Yes;1 -2 years ago;Its about the music- not the gender;4;Yes;4;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;Yes;5;Yes;1;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Australia;Female
BTS;;No;1 -2 years ago;I listen to both;4;Yes;3;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Other European countries;Female
BTS;;Yes;More than 4 years ago;Its about the music- not the gender;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
BTS;The black skirts ;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
BTS;;Its gaining popularity;More than 4 years ago;I listen to both;4;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;I listen to both;5;Yes;4;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
MONSTA X;;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
BTS;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;4;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;EXO;Its gaining popularity;1 -2 years ago;I listen to both;4;Yes;1;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;I listen to both;4;Yes;;No;Led to you being cajoled (made fun of) by classmates and family;Idk if what I'm about to say makes much sense. But, for example, BTS helped me understand that I have to love myself. CLC teaches me, through their music, that it's ok to be different, that the standards that our society create should never be our measuring cup. (I'm sorry if my english is not so correct);15 - 20 years;B;Other European countries;Female
Stray Kids;;Its gaining popularity;More than 4 years ago;I listen to both;1;Yes;1;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;I'm not sure;3-4 years ago;Its about the music- not the gender;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;Germany;Female
BTS;;I'm not sure;1 -2 years ago;Its about the music- not the gender;4;Yes;2;Yes; Nothings changed with my lifestyle ;Reduced stress/anxiety/depression;10 - 14 years;A;A country in the UK;Female
BTS;MONSTA X;Its gaining popularity;3-4 years ago;Yes;4;Yes;1;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;5;Yes;3;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;10 - 14 years;A;Other Asian country;Female
BTS;;I'm not sure;3-4 years ago;Its about the music- not the gender;4;Yes;1;No;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Other European countries;Female
BTS;;Its gaining popularity;More than 4 years ago;Its about the music- not the gender;5;Yes;2;Yes;Made more friends because we like kpop;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
BTS;Seventeen;Yes;More than 4 years ago;I listen to both;5;Yes;1;No;Reduced the amount of sleep you get;Both answers above;15 - 20 years;B;USA;Female
Stray Kids;;Its gaining popularity;Started in 2006;I listen to both;5;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;More than 4 years ago;I listen to both;4;Yes;1;No;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;;Yes;1 -2 years ago;Yes;1;Yes;1;Notsure;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;BLACKPINK;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;2;No;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;Latin America;Female
BLACKPINK;;Yes;More than 4 years ago;I listen to both;4;No;;Notsure;None of the above;Both;10 - 14 years;A;USA;Female
Stray Kids ;;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;1;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;4;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;;Yes;3-4 years ago;Yes;4;Yes;1;Yes;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
Vixx ;Super Junior ;Yes;3-4 years ago;I listen to both;4;Yes;1;No;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;EXO;Its gaining popularity;9 years coming April ;Its about the music- not the gender;5;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;21 - 26 years;C;Canada;Female
EXO;BLACKPINK;Its gaining popularity;1 -2 years ago;Yes;5;Yes;4;Yes;none of the above ;Both;15 - 20 years;B;USA;Female
MONSTA X;;Its gaining popularity;1 -2 years ago;I listen to both;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
b.a.p; Stray Kids;Its gaining popularity;3-4 years ago;Its about the music- not the gender;4;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;Other European countries;Female
BTS;;Its gaining popularity;More than 4 years ago;Its about the music- not the gender;5;Yes;1;Yes;Reduced the number of friends you have;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;;Its gaining popularity;More than 4 years ago;Yes;4;Yes;1;Yes;I'd rather say that because of my connection with K-Pop, it has opened doorsfor me to make new friends (even to that of bosses).;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;Seventeen ;Yes;3-4 years ago;Yes;5;Yes;1;Yes;Reduced your time to socialise with your friends/partners/family;Reduced stress/anxiety/depression;15 - 20 years;B;Canada;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;I listen to both;5;Yes;1;No;Reduced the amount of sleep you get;All of the above;15 - 20 years;B;USA;Female
BTS;;Yes;3-4 years ago;I listen to both;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Yes;3-4 years ago;I listen to both;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
Red velvet;;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;3;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
Ikon;;Yes;3-4 years ago;I listen to both;4;Yes;2;Yes;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
Stray Kids ;;Its gaining popularity;1 -2 years ago;I listen to both;5;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;10 - 14 years;A;A country in the UK;Female
Shinee;;Its gaining popularity;More than 4 years ago;I listen to both;4;Yes;2;No;None of the above ;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;1;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;GOT7;Yes;More than 4 years ago;Yes;4;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Nothing specific, I just like the music;21 - 26 years;C;Latin America;Female
EXO;MONSTA X;Yes;7 years ago;Its about the music- not the gender;1;Yes;2;Yes;All of the above;Both;15 - 20 years;B;USA;Female
BTS;;Its gaining popularity;More than 4 years ago;Yes;4;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;;Yes;Less than a year ago;Yes;4;Yes;2;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;;Yes;More than 4 years ago;Yes;4;Yes;1;Yes;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;USA;Female
MONSTA X;;Its gaining popularity;3-4 years ago;Yes;5;Yes;1;Yes;None of the above, I talk about it with a couple friends who also like kpop otherwise it’s only in my own time. I don’t talk about it around others and stuff;Made friends who are like-minded;15 - 20 years;B;Australia;Female
EXO;;Its gaining popularity;3-4 years ago;Its about the music- not the gender;4;Yes;1;No;no;Made friends who are like-minded;10 - 14 years;A;USA;Female
EXO;;Its gaining popularity;More than 4 years ago;Its about the music- not the gender;5;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;EXO;Its gaining popularity;Less than a year ago;Yes;4;Yes;3;Notsure;Reduced the number of friends you have;Reduced stress/anxiety/depression;15 - 20 years;B;South Africa;Female
BTS;;Yes;1 -2 years ago;Yes;4;Yes;2;No;Reduced the amount of sleep you get;Made friends who are like-minded;10 - 14 years;A;USA;Female
Treasure 13; Stray Kids;Its gaining popularity;3-4 years ago;Yes;4;Yes;1;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;Other European countries;Female
BTS;;Yes;1 -2 years ago;I listen to both;4;Yes;1;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;;Yes;More than 4 years ago;Its about the music- not the gender;5;Yes;1;No;Reduced the amount of sleep you get;Made friends who are like-minded;21 - 26 years;C;USA;Female
MONSTA X;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;3;Notsure;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;15 - 20 years;B;Latin America;Female
BTS;;Yes;More than 4 years ago;Yes;4;No;;No;Reduced your time to socialise with your friends/partners/family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;GOT7;I'm not sure;Less than a year ago;Yes;5;Yes;2;Yes;Reduced the amount of sleep you get;Reduced stress/anxiety/depression;10 - 14 years;A;USA;Female
BTS;;Yes;More than 4 years ago;I listen to both;4;Yes;2;Notsure;Reduced the amount of sleep you get;Made friends who are like-minded;15 - 20 years;B;Turkey;Female
VIXX;;Its gaining popularity;3-4 years ago;Yes;4;Yes;1;Notsure;Nothing as such;Reduced stress/anxiety/depression;15 - 20 years;B;Other European countries;Female
